"filename", "language", "C++", "Arduino", "comment", "blank", "total"
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\Ball.cpp", "C++", -71, 0, -2, -10, -83
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\Ball.ino", "Arduino", 0, 71, 2, 10, 83
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\about.cpp", "C++", -18, 0, 0, -1, -19
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\about.h", "C++", 70, 0, 1, 0, 71
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\button.cpp", "C++", -70, 0, 0, -5, -75
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\button.ino", "Arduino", 0, 70, 0, 5, 75
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\dev.h", "C++", 1, 0, 0, 0, 1
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\game.h", "C++", 1, 0, -1, 0, 0
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\hack.cpp", "C++", -88, 0, 0, -5, -93
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\hack.h", "C++", 87, 0, 0, 3, 90
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\help.cpp", "C++", -46, 0, -1, -4, -51
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\help.h", "C++", 46, 0, 0, 1, 47
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\label.h", "C++", 12, 0, 0, 4, 16
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\menu.h", "C++", 8, 0, 0, 2, 10
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\morse.h", "C++", -16, 0, 0, -7, -23
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\oled_menu_test.cpp", "C++", -39, 0, 0, -4, -43
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\oled_menu_test.ino", "Arduino", 0, 42, 0, 4, 46
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\oled_menu_test.ino.cpp", "C++", 252, 0, 0, 31, 283
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\paddle.cpp", "C++", -55, 0, 0, -12, -67
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\paddle.ino", "Arduino", 0, 55, 0, 12, 67
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\selector.h", "C++", 22, 0, 0, 2, 24
"e:\Documents\PlatformIO\Projects\250803-125604-airm2m_core_esp32c3\src\test.h", "C++", 50, 0, 0, 4, 54
"Total", "-", 146, 238, -1, 30, 413